Title,Description,Date,Location,Source,URL,Organiser
Fire Safety & Risk Assessment - The Fire Safety (NI) Regulations 2006,This seminar workshop will provide delegates with a thorough understanding of fire safety issues and prepare them to conduct fire risk assessments.,Wed Dec 08 00:00:00 +0000 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=112&CourseTypeID=3,Business Link
ISO 9001:2008 - Internal Quality Auditor Training,This is an intensive two-day course which demonstrates an efficient and productive approach to conducting ISO 9001 internal audit.,Wed Dec 08 00:00:00 +0000 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=101&CourseTypeID=8,Business Link
Starting Your Own Business - Taster Seminar,"This seminar looks at the advantages and disadvantages of self-employment and identifies why some businesses fail. This session will help you consider your motivation for starting a business, your personal qualities and your business skills.

You will also gain an understanding of business planning, the legal implications involved when starting a business and what support is available and how to access it.",Thu May 27 00:00:00 +0100 2010,"Plas Grono Road, Wrexham,",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/t/T_-_EVT7744_-_WCBC_-_270510.aspx,Business Link
The manufacturing advisory service- Lean Leader Programme,"<p>A fast paced, fun, practical programme for line managers who are eager to get more from their people and shop floor processes.&nbsp; This eight-day Programme will run over 7 weeks, and support manufacturing managers who want to learn about, drive, activate and implement lean processes within their facilities and deliver real bottom line benefits fast.</p>
",Mon May 24 00:00:00 +0100 2010,"West of England Aerospace Forum Conference room, Clevedon, nr Bristol BS21 6UP",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001542495,Business Link
How VAT Works,"This workshop will help you use VAT correctly in your business.  It explains what VAT is, how it works and what to do once you are registered for VAT. You will learn how to account for VAT with the standard method, correct mistakes, claim back VAT on expenses before registration, and complete a VAT return online.  The other VAT schemes available will also be explained.",Tue May 25 00:00:00 +0100 2010,"Mote Road, Maidstone",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Costing and Pricing for Start-Ups,"This workshop provides an understanding of the pricing process and helps identify the different types of business costs, i.e. fixed, direct and capital costs.  This session also explains the link between well researched costing & pricing and profitability.

You will also gain an understanding of the importance on thoroughly researching your costs in order that they provide a foundation for your financial projections.",Wed May 26 00:00:00 +0100 2010,"84 Marsh Road, Rhyl, Denbighshire",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/w-1/W4_-_EVT7824_-_DEA_-_260510.aspx,Business Link
Costing and Pricing for Start-Ups,"This workshop provides an understanding of the pricing process and helps identify the different types of business costs, i.e. fixed, direct and capital costs.  This session also explains the link between well researched costing & pricing and profitability.

You will also gain an understanding of the importance on thoroughly researching your costs in order that they provide a foundation for your financial projections.",Thu May 27 00:00:00 +0100 2010,"127 Bute Street, Cardiff Bay",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/w-1/W4_-_EVT7329_-_BIF_-_270510.aspx,Business Link
How VAT Works,"This workshop will help you use VAT correctly in your business.  It explains what VAT is, how it works and what to do once you are registered for VAT. You will learn how to account for VAT with the standard method, correct mistakes, claim back VAT on expenses before registration, and complete a VAT return online.  The other VAT schemes available will also be explained.",Fri May 28 00:00:00 +0100 2010,"New North Road, Exeter",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Everything you ever wanted to know about Marketing - 26 May FULLY BOOKED,"<p><strong>Please note this event is fully booked</strong></p>

Join Business Link for an exciting and informative FREE marketing seminar. This seminar will help you to take a fresh look at your marketing and what it can do for your business. It will give you tools and techniques to make your advertising and promotions more cost effective and successful. You will go away with a number of new ideas on how to reach your customers. ",Wed May 26 00:00:00 +0100 2010,"Cotswold Water Park Four Pillars Hotel, Cirencester GL7 5FP",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001495649,Business Link
Cardiff Bay Business Networking Meeting,"This monthly, early evening, business networking meeting is very informal, with everybody just chatting / mixing / mingling and making new contacts. This is an informal PAY-AS-YOU-GO business networking group, so there are NO membership fees at all. There are no hidden extras, no strings attached and no ongoing commitments. Today's small and growing businesses could soon be the global brand leaders of the future; so think how good it will be for your business if you're already networking with their main decision makers.
",Tue May 25 00:00:00 +0100 2010,"Future Inn, Hemingway Road, Cardiff Bay, Cardiff",Business Link,http://www.uk-business-connections.co.uk/business-networking/uk-business-connections.html,Business Link
"Consultative selling -the good, the bad and the salesperson- 25 May FULLY BOOKED","<p><strong>Please note this event is fully booked</strong></p>

<p>The Consultative Salesperson possesses exceptional relationship skills couple with great critical thinking ability - these skills are a business owner's most powerful and effective business asset.&nbsp; Find out why selling needs to be brought up to date, and how you can be seen not as a salesperson, but as a trusted business contact.&nbsp; Learn the, often counter-intuitive, approach which makes the difference between your clients choosing you or your competitors.</p>",Tue May 25 00:00:00 +0100 2010,"Crown Hotel, West Street, Blandford Forum DT11 7AJ",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001502381,Business Link
Knock yourself out for Cancer Research UK!,"On May 29th a team building event with a difference comes to Worcester racecourse.  The Cancer Research UK, Relay for Life team is holding an ""It's a knockout event&rdquo; from 10-5pm and opening this up to Worcestershire businesses as a team building opportunity.  The charity appreciates that times are difficult for businesses at the moment and that team building can be expensive.  So with this in mind the charity has arranged this event to encourage local businesses to step up to the challenge of helping them raise money for this great cause and get a fun packed team event to remember.  Each team needs 12 people so if you have a small company why not invite clients or friends and family to participate as well? If you would like to find out more about this event please contact Emma Campolucci, Vice chair of Cancer research UK, Relay for Life, Worcester at emmacampolucci@yahoo.co.uk",Sat May 29 00:00:00 +0100 2010,"Worcester Racecourse, Grand Stand Road, Worcester",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=131&r.lc=en&type=EVENTS&itemId=5001503653,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Tue Jun 01 00:00:00 +0100 2010,"Watlington Street, Reading",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Resource Planning and Management,Good financial management is essential. Learn to manage a profit and loss account; produce a cashflow statement; understand the meaning of working capital; describe the main sources of finance; and understand the different legal structures of a business.,Tue Jun 01 00:00:00 +0100 2010,"Business Gateway, Apex House, 99 Haymarket Terrace, EDINBURGH EH12 5HD",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001508871,Business Link
Making Your Website Work Harder For You,"Considers what makes a good website - from a human and technical perspective. Looks at site planning, design and operational processes.",Tue Jun 01 00:00:00 +0100 2010,"Carnegie Conference Centre, Halbeath, DUNFERMLINE KY11 8DY",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001535633,Business Link
Marketing your Business,This workshop will help delegates understand the basics of market research and marketing.,Tue Jun 01 00:00:00 +0100 2010,"Round Foundry Media Centre, Leeds",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=7755,Business Link
Introduction to AutoCAD Architecture 2010,"AutoCAD Architecture software, the version of AutoCAD software created for architects, supports a faster way of working. Purpose-built features for architectural design and drafting help you create construction documents more efficiently within the familiar AutoCAD environment",Tue Jun 01 00:00:00 +0100 2010,"University of Wolverhampton, Wulfruna Street, Wolverhampton, WV1 1LY",Business Link,http://www.wmcce.org/node/376,Business Link
Advanced Negotiation Skills,Learn how to improve negotiation skills to a more professional level.,Tue Jun 01 00:00:00 +0100 2010,"Glenavon Hotel, Cookstown",Business Link,http://www.investni.com/workshops,Business Link
Becoming a Director - Guide to Tax and National Insurance,"This event will give you an overview of the tax, National Insurance and VAT responsibilities of a director to HMRC.  It also covers directors' expenses and benefits, some basics about dividends, keeping records and the special rules for calculating directors' National Insurance.",Tue Jun 01 00:00:00 +0100 2010,"George Street West, Luton",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/central.htm,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Tue Jun 01 00:00:00 +0100 2010,"Stamford Street, London SE1",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/london.htm,Business Link
Start Up Awareness Seminar,If you're thinking about planning or starting your own business you will benefit from attending this awareness raising session.,Tue Jun 01 00:00:00 +0100 2010,"Enterprise Business Centre, Admiral Court, Poynernook Road, ABERDEEN AB11 5QX",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001489657,Business Link
IT For Business - Start Up Workshop,Effective IT and ebusiness adoption can significantly help companies operate more effectively and take advantage of new opportunities that may otherwise not exist,Tue Jun 01 00:00:00 +0100 2010,"Express by Holiday Inn, Halbeath, DUNFERMLINE KY11 8DY",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001511085,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",Mon Jul 26 00:00:00 +0100 2010,"Mote Road, Maidstone",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Paying Someone for the First Time Using the Employer CD-Rom,"This event will explain how to install the CD-ROM, use it to work out an employee's tax and National Insurance deductions, what details you need to include on a wage slip, fill in forms when an employee starts or leaves your employment and work out your payments due to HMRC.",Tue Jul 27 00:00:00 +0100 2010,"Barrington Road, Worthing",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Do it Online for Employers,"This event covers how to register for HMRC online services, an introduction to what you can do online and how to get the best from the service. It will explain how to file employee starter and leaver forms and employer annual returns online. Please note this event does not cover online services for self assesment.",Fri Jul 23 00:00:00 +0100 2010,"Regent Hill, Brighton",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Reporting and Building on the Effectiveness of Digital Marketing,"During this workshop delegates will learn how to analyse and adapt the latest standards and best practices on techniques to measure and report on ROI, discuss the latest industry thinking behind accurately measuring digital marketing's overall effectiveness to the business and Develop the platform with senior management to putting a true figure on the value of all digital marketing.",Wed Jul 07 00:00:00 +0100 2010,"ETC Venues, London EC1",Business Link,http://www.b2bm.biz/events/workshop/marketing_measurability/,Business Link
Working together to make re-use happen,"A partnership event held by Cylch and Waste Awareness Wales to stimulate dialogue between local authorities and community groups. 
The aim is to identify opportunities to work together to help deliver the re-use aspect of the Wales Waste Strategy. To book a place on this please contact Rose Jennings on 02920649750 or email rose.jennings@cylch.org.uk",Thu Jul 01 00:00:00 +0100 2010,"The Media Resource Centre , Oxfor Road, Llandrindod Wells, Powys",Business Link,http://fs4b.wales.gov.uk/bdotg/action/eventDescription?site=230&r.lc=en&type=EVENTS&itemId=5001553429,Business Link
Starting Your Own Business - Taster Seminar,"This seminar looks at the advantages and disadvantages of self-employment and identifies why some businesses fail. This session will help you consider your motivation for starting a business, your personal qualities and your business skills.

You will also gain an understanding of business planning, the legal implications involved when starting a business and what support is available and how to access it.",Thu Jul 01 00:00:00 +0100 2010,"Panteg Way, Pontypool, Torfaen",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/t/T_-_EVT7818_-_NGE_-_010710.aspx,Business Link
Starting Your Own Business - Taster Seminar,"This seminar looks at the advantages and disadvantages of self-employment and identifies why some businesses fail. This session will help you consider your motivation for starting a business, your personal qualities and your business skills.

You will also gain an understanding of business planning, the legal implications involved when starting a business and what support is available and how to access it.",Thu Jul 01 00:00:00 +0100 2010,"Enterprise Way Newport South Wales, Newport,",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/t/T_-_EVT7812_-_NGE_-_010710.aspx,Business Link
Starting Your Own Business - Taster Seminar,"This seminar looks at the advantages and disadvantages of self-employment and identifies why some businesses fail. This session will help you consider your motivation for starting a business, your personal qualities and your business skills.

You will also gain an understanding of business planning, the legal implications involved when starting a business and what support is available and how to access it.",Wed Jul 07 00:00:00 +0100 2010,"High Street Blackwood Caerphilly, Caerphilly,",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/t/T_-_EVT7815_-_NGE_-_070710.aspx,Business Link
Starting Your Own Business - Taster Seminar,"This seminar looks at the advantages and disadvantages of self-employment and identifies why some businesses fail. This session will help you consider your motivation for starting a business, your personal qualities and your business skills.

You will also gain an understanding of business planning, the legal implications involved when starting a business and what support is available and how to access it.",Thu Jul 15 00:00:00 +0100 2010,"Panteg Way, Pontypool, Torfaen",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/t/T_-_EVT7819_-_NGE_-_150710.aspx,Business Link
Starting Your Own Business - Taster Seminar,"This seminar looks at the advantages and disadvantages of self-employment and identifies why some businesses fail. This session will help you consider your motivation for starting a business, your personal qualities and your business skills.

You will also gain an understanding of business planning, the legal implications involved when starting a business and what support is available and how to access it.",Thu Jul 15 00:00:00 +0100 2010,"Enterprise Way Newport South Wales, Newport,",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/t/T_-_EVT7813_-_NGE_-_150710.aspx,Business Link
Salisbury Breakfast Club - 3 Aug,"<p>Salisbury Breakfast Club provides you with a good opportunity for informal, relaxed and non-pressure networking. With informal information slots at each breakfast, the emphasis is on enjoyment and informality to keep a bright modern approach to the meetings. You'll have the opportunity to network with fellow delegates before breakfast and throughout the morning. This event is run by Bonallack &amp; Bishop Solicitors and is sponsored by Business Link.</p>
",Tue Aug 03 00:00:00 +0100 2010,"Grasmere House Hotel, Salisbury SP2 8JN",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001537771,Business Link
Three Towns Breakfast Club - 19 Aug,"<p>Three Towns Breakfast Club provides you with a good opportunity for informal, relaxed and non-pressure networking. With informal information slots at each breakfast, the emphasis is on enjoyment and informality to keep a bright modern approach to the meetings. You'll have the opportunity to network with fellow delegates before breakfast and throughout the morning. This event is run by Bonallack &amp; Bishop Solicitors and is sponsored by Business Link.</p>",Thu Aug 19 00:00:00 +0100 2010,"The Corsley Centre, Corsley nr Warminster BA12 7QF",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001537811,Business Link
Finance for Non-Finance Managers,"This classroom-based finance workshop is run by CEiS and partners. It&#8217;s aimed at non-finance managers of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences. Alternatively, this course is also available online.",Wed Aug 18 00:00:00 +0100 2010,"Scottish Enterprise, 3 Greenmarket, DUNDEE, DD1 4QB",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Finance for Non-Finance Managers,"This classroom-based finance workshop is run by CEiS and partners. It&#8217;s aimed at non-finance managers of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences. Alternatively, this course is also available online.",Wed Aug 25 00:00:00 +0100 2010,"Teacher Building, 14 St Enoch Square, GLASGOW, G1 4DB",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Start Up Awareness Seminar,If you're thinking about planning or starting your own business you will benefit from attending this awareness raising session.,Mon Aug 02 00:00:00 +0100 2010,"Falkirk for Business, Newhouse Business Park, GRANGEMOUTH FK3 8LL",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001552698,Business Link
Business Expenses and Capital Allowances for the Self-Employed,This event will show you what business expenses you can claim and explain about Capital Allowances and how they give your business tax relief.,Mon Aug 02 00:00:00 +0100 2010,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Mon Aug 02 00:00:00 +0100 2010,"Silbury Boulevard, Milton Keynes",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Mon Aug 02 00:00:00 +0100 2010,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Business Expenses and Capital Allowances for the Self-Employed,This event will show you what business expenses you can claim and explain about Capital Allowances and how they give your business tax relief.,Mon Aug 02 00:00:00 +0100 2010,"Southgate Street, Gloucester",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
Marketing and Market Research - Start Up Workshop,"Getting the marketing right for your business is crucial to its success.  This workshop will help you to understand your competitors, identify your customers and understand the things you need to consider for effective marketing",Mon Aug 02 00:00:00 +0100 2010,"The Enterprise Centre, Lennox House, Almondvale Boulevard, LIVINGSTON EH54 6QP",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001559247,Business Link
Salisbury Breakfast Club - 7 Sep,"<p>Salisbury Breakfast Club provides you with a good opportunity for informal, relaxed and non-pressure networking. With informal information slots at each breakfast, the emphasis is on enjoyment and informality to keep a bright modern approach to the meetings. You'll have the opportunity to network with fellow delegates before breakfast and throughout the morning. This event is run by Bonallack &amp; Bishop Solicitors and is sponsored by Business Link.</p>",Tue Sep 07 00:00:00 +0100 2010,"Grasmere House Hotel, Salisbury SP2 8JN",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001537849,Business Link
Three Towns Breakfast Club - 16 Sep,"<p>Three Towns Breakfast Club provides you with a good opportunity for informal, relaxed and non-pressure networking. With informal information slots at each breakfast, the emphasis is on enjoyment and informality to keep a bright modern approach to the meetings. You'll have the opportunity to network with fellow delegates before breakfast and throughout the morning. This event is run by Bonallack &amp; Bishop Solicitors and is sponsored by Business Link.</p>",Thu Sep 16 00:00:00 +0100 2010,"The Corsley Centre, Corsley nr Warminster BA12 7QF",Business Link,http://online.businesslink.gov.uk/bdotg/action/eventDescription?site=106&r.lc=en&type=EVENTS&itemId=5001537893,Business Link
Finance for Non-Finance Managers,"This classroom-based finance workshop is run by CEiS and partners. It&#8217;s aimed at non-finance managers of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences. Alternatively, this course is also available online.",Wed Sep 22 00:00:00 +0100 2010,"The Melting Pot, 5 Rose Street, EDINBURGH, EH2 2PR",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Finance for Non-Finance Managers,"This classroom-based finance workshop is run by CEiS and partners. It&#8217;s aimed at non-finance managers of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences. Alternatively, this course is also available online.",Wed Sep 29 00:00:00 +0100 2010,"Ramada Inverness, 33 Church Street, INVERNESS, IV1 1DX",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
"Finance for Senior Managers, Trustees and Boards","This formal training workshop on Finance is run by CEiS and partners. It&#8217;s aimed at senior managers, trustees and board members of Third Sector Organisations. The aim of the training is to improve the capacity of Third Sector organisations to control finances and engage in high-quality financial planning. The workshop offers a mixture of class-based activity, participative learning exercises and peer learning. You can contribute and share ideas and experiences. Alternatively, this course is also available online.",Tue Sep 14 00:00:00 +0100 2010,"Best Western Station Hotel, 49 Lovers Walk, DUMFRIES, DG1 1LT",Business Link,http://www.ceis.org.uk/supporting-enterprise.html#Enterprise-Programmes,Business Link
Love Me Tender,"Love Me Tender is a series of three workshops covering such topics as finding those opportunities, understanding the tendering process, collaborative working and compiling winning tenders.",Wed Sep 01 00:00:00 +0100 2010,"The Apex Hotel, 1 West Victoria Dock Road, DUNDEE, DD1 3JP",Business Link,http://www.sdpscotland.co.uk/events/events-list/love-me-tender-dundee.aspx,Business Link
Newly Self-Employed - The Basics,"This event covers the main tax and National Insurance issues, how to register, the basics about keeping records, when your first self assessment tax return and payments are due and whether you need to register for VAT.",Wed Sep 01 00:00:00 +0100 2010,"Farnsby Street, Swindon",Business Link,http://www.hmrc.gov.uk/bst/advice-teams-area/south.htm,Business Link
How to Grow Through New and Existing Customers,"This workshop will provide delegates with information on understanding customers, attracting customers and building a strong customer base.",Wed Sep 01 00:00:00 +0100 2010,"Holiday Inn, Barnsley",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8009,Business Link
Search Engine Optimisation 2010,During this workshop delegates will learn how to get the most from their website including getting onto the front page of Google.,Wed Sep 01 00:00:00 +0100 2010,"Octagon, Hull",Business Link,http://blgov.regionalknowledgesystem.com/default.aspx?id=8065,Business Link
Advertising and Promotion,This course will give you the knowledge and skills you need to produce an advertising plan for your business,Wed Sep 01 00:00:00 +0100 2010,"Enterprise Business Centre, Admiral Court, Poynernook Road, ABERDEEN AB11 5QX",Business Link,http://www.businesslink.gov.uk/bdotg/action/eventDescription?site=202&r.lc=en&type=EVENTS&itemId=5001560062,Business Link
IOSH - Managing Safely,This course ensures that safety requirements are appreciated by line managers and enables them to review their own departmental systems for safety.,Thu Oct 14 00:00:00 +0100 2010,"Holiday Inn, Ormeau Avenue, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=89&CourseTypeID=3,Business Link
Budgeting for success,"This course is designed to provide middle management with a comprehensive introduction to understanding, preparing and managing budgets successfully.",Thu Oct 14 00:00:00 +0100 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=115&CourseTypeID=1,Business Link
Finance for non-finance Managers,This training course has been specifically designed for middle and senior management who do not have day-to-day involvement in financial activities.,Thu Oct 14 00:00:00 +0100 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=1&CourseTypeID=1,Business Link
Managing ERDF Finances,"This one-day workshop will cover the rules relating to eligibility of ERDF expenditure, project match funding and management of revenue.",Thu Oct 14 00:00:00 +0100 2010,"Novotel Hotel, Manchester",Business Link,http://www.national-training.com/events/extevents/default.php?ext=3270,Business Link
Feed in Tariff,This workshop will offer an insight into the sustainable business market in the South East.,Thu Oct 14 00:00:00 +0100 2010,"The Oxford Centre, Oxford",Business Link,http://www.eventskent.co.uk/ClientApps/Silverbear.Web.EDMS/public/default.aspx?tabid=1536&id=11144&p=&orgId=21&guid=8303df0d-3777-426c-b1d6-df272ccf1e30,Business Link
Business Live,During this event delegates will get the opportunity to network with like-minded people.,Fri Oct 15 00:00:00 +0100 2010,"Bistro Live, Milton Keynes",Business Link,http://www.businessliveuk.com,Business Link
Introduction to NLP,This seminar will inform participants about neuro linguistic programming (NLP) techniques that ensures their communication is more effective. This course is an overview of the techniques that heighten awareness and assist in everyday personal and business situations.,Sat Oct 16 00:00:00 +0100 2010,"Harben De Vere Hotel, Newport Pagnell",Business Link,http://www.ddsnlp.com/events,Business Link
ISO9001 Internal Auditor Course,Internal auditor course for those conducting audits covering the quality standard ISO9001.,Tue Oct 19 00:00:00 +0100 2010,"Weavers Court, Linfield Road, Belfast",Business Link,http://www.quadraconsulting.com/training_calendar/calendar.htm,Business Link
Effective Minute Taking,Effective minute taking is designed for staff who have the responsibility for organising and attending meetings in a support function,Tue Oct 19 00:00:00 +0100 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=86&CourseTypeID=1,Business Link
"Mind Mapping, Memory and Speed Reading","During this workshop delegates will learn mind mapping, speed reading and memory principles and rhythms.",Wed Oct 20 00:00:00 +0100 2010,"Etc, Islington",Business Link,http://www.illumine.co.uk/aims,Business Link
Creativity for Logical Thinkers,"During this workshop delegates will learn how to develop new perspectives, generate new ideas and solve practical problems.",Mon Nov 08 00:00:00 +0000 2010,"Etc Venues, Islington",Business Link,http://www.illumine.co.uk/bmap,Business Link
ISO 9001:2008 - IRCA Registered Lead Auditor,This five-day course provides an understanding and knowledge of auditing quality management systems to third party standards.,Mon Nov 08 00:00:00 +0000 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=132&CourseTypeID=8,Business Link
Asbestos Management,"If you own or are responsible for a workplace which may contain asbestos products, you need to consider risks of exposure to staff or other workers.",Tue Nov 09 00:00:00 +0000 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=11&CourseTypeID=3,Business Link
Inspirational Leadership Skills,This one-day interactive and highly participative programme highlights leadership techniques that have evolved throughout the ages.,Tue Nov 09 00:00:00 +0000 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=27&CourseTypeID=1,Business Link
Working at Height Regulations,This half-day programme provides delegates with advice and guidance regarding equipment used in activities involving work at height.,Tue Nov 09 00:00:00 +0000 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=87&CourseTypeID=3,Business Link
Business Advice Open Day,This event brings together a team of experts who can provide advice and support on a range of subjects from starting a business through to growth and expansion.,Tue Nov 09 00:00:00 +0000 2010,City of Manchester Stadium,Business Link,http://www.businesslink.gov.uk/advicedays,Business Link
Accessing Business Finance,The aim of the Accessing Business Finance Workshops is to introduce entrepreneurs and business owners to the basic principles of accessing business finance and inform them of the financing options available to companies in Wales.,Wed Nov 10 00:00:00 +0000 2010,"Ramada Plaza Hotel, Ellice Way, Wrexham",Business Link,http://ms.fs4b.wales.gov.uk/business_events_wales/events/a/accessingbus_-_wag_-_121010.aspx,Business Link
Marketing and Promotion for Funded Projects,Delegates will learn how to devise and implement a marketing and promotion plan for their project business.,Thu Nov 11 00:00:00 +0000 2010,"Novotel Hotel, Manchester",Business Link,http://www.national-training.com/events/extevents/2968.php,Business Link
Managing difficult situations on the telephone,This course is designed to help delegates reduce resistance and potential conflict when they are talking to people on the telephone.,Thu Nov 11 00:00:00 +0000 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=100&CourseTypeID=1,Business Link
Business Live,During this event delegates will get the opportunity to network with like-minded people.,Fri Nov 12 00:00:00 +0000 2010,"Bistro Live, Milton Keynes",Business Link,http://www.businessliveuk.com,Business Link
ISO 9001:2008 - Internal Quality Auditor Training,This is an intensive two-day course which demonstrates an efficient and productive approach to conducting ISO 9001 internal audit.,Wed Dec 08 00:00:00 +0000 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=101&CourseTypeID=8,Business Link
The Proficient Supervisor and Manager,This course demonstrates the essential skills required for new supervisors and managers.,Thu Dec 09 00:00:00 +0000 2010,"Holiday Inn, Ormeau Ave, Belfast",Business Link,http://www.cosensa.co.uk/CourseInformation.php?CourseID=84&CourseTypeID=1,Business Link
